22910,57,5,10.25,1.0625,15.052,3.54,-5.66,121.71
22911,57,6,10.562,0.9375,15.434,4.11,-4.91,117.32
22912,57,7,11.375,0.75,15.851,3.9,-3.47,110.49
22913,57,8,11.812,0.625,15.799,2.94,-2.81,101.11
22914,57,9,12.562,0.375,16.128,2.43,-1.51,100
22915,57,10,12.812,0.25,16.302,1.47,-0.91,93.23
22916,57,11,13.375,0,16.198,0.57,0.19,84.16
22917,57,12,13.375,-0.0625,16.319,-0.24,0.65,71.19
22918,57,13,13.688,-0.1875,16.233,-0.48,1.28,48.09
22919,57,14,13.75,-0.25,16.406,-0.6,1.52,37.48
22920,57,15,14.188,-0.375,16.337,-0.69,1.99,35.96
22921,57,16,14.5,-0.4375,16.545,-0.72,2.19,31.52
22922,57,17,14.875,-0.5625,16.753,-0.57,2.63,33.76
22923,57,18,15.125,-0.625,17.014,-0.27,2.86,35.37
22924,57,19,15.5,-0.75,16.979,-0.09,3.25,30.39
22925,57,20,15.312,-0.75,17.205,-0.09,3.42,25.07
22926,57,21,15.312,-0.8125,17.153,-0.12,3.53,18.08
22927,57,22,15.375,-0.875,17.135,-0.15,3.64,8.3
22928,57,23,15.625,-0.875,17.118,-0.18,3.64,0.19
22929,57,24,16,-0.875,17.361,-0.24,3.62,-1.82
22930,57,25,16,-0.875,17.326,-0.24,3.58,-6.73
22931,57,26,15.938,-0.8125,17.274,-0.3,3.49,-6.89
22932,57,27,16.125,-0.875,17.257,-0.36,3.52,4.53
22933,57,28,16,-0.875,17.222,-0.36,3.53,0.86
22934,57,29,15.938,-0.875,17.205,-0.39,3.54,2.44
22935,57,30,15.875,-0.875,17.413,-0.42,3.55,0.69
22936,57,31,15.75,-0.8125,17.378,-0.39,3.55,-0.03
22937,57,32,15.688,-0.8125,17.378,-0.36,3.48,-5.34
22938,57,33,15.625,-0.8125,17.361,-0.33,3.44,-6.28
22939,57,34,15.625,-0.8125,17.326,-0.33,3.4,-3.34
22940,57,35,15.5,-0.75,17.552,-0.36,3.36,-5.86
22941,57,36,15.375,-0.75,17.535,-0.3,3.22,-10.69
22942,57,37,15.25,-0.6875,17.517,-0.27,3.13,-14.92
22943,57,38,15.125,-0.625,17.5,-0.27,2.94,-14.12
22944,57,39,15.062,-0.625,17.743,-0.24,2.86,-12.88
22945,57,40,14.875,-0.5625,17.708,-0.24,2.69,-12.66
22946,57,41,14.75,-0.5625,17.691,-0.21,2.59,-15.25
22947,57,42,14.562,-0.5,17.951,-0.21,2.5,-14.71
22948,57,43,14.312,-0.4375,17.951,-0.21,2.28,-17.03
22949,57,44,14.188,-0.375,17.934,-0.21,2.15,-20.07
22950,57,45,13.938,-0.3125,17.899,-0.21,1.85,-23.13
22951,57,46,13.812,-0.25,17.865,-0.24,1.66,-29.19
22952,57,47,13.562,-0.125,17.847,-0.21,1.08,-44.59
22953,57,48,13.438,-0.0625,17.865,-0.18,0.67,-62.8
22954,57,49,13.312,0,17.847,-0.15,0.19,-73.18
22955,57,50,13.125,0.25,17.847,-0.12,-0.92,-86.09
22956,57,51,12.875,0.4375,17.847,-0.12,-1.54,-94.86
22957,57,52,12.75,0.6875,17.847,-0.09,-2.93,-107.49
22958,57,53,12.5,0.875,17.865,-0.03,-3.67,-112.57
22959,57,54,12.375,1,17.882,0,-4.4,-113.11
22960,57,55,12.062,1.3125,17.882,0,-5.89,-115.17
22961,57,56,11.812,1.4375,17.882,0,-6.65,-114.88
22962,57,57,11.688,1.5625,17.882,0,-7.37,-111.93
22963,57,58,11.5,1.8125,18.142,0,-8.79,-109.18
22964,57,59,11.375,1.9375,18.108,0,-9.47,-104.7
22965,57,60,11.25,2.1875,18.108,0,-10.63,-89.31
22966,57,61,11.188,2.25,18.125,0.03,-11.23,-91.74
22967,57,62,11.188,2.375,18.125,0.09,-11.79,-86.9
